pipeline,Recall@5,Recall@10,Precision@5,Precision@10,MRR,MRR@5,MRR@10,NDCG@5,NDCG@10,MAP,F1@5,F1@10,Hit@5,Hit@10,Avg_Latency_ms,P95_Latency_ms
baseline,0.5666666666666668,0.5866666666666667,0.18400000000000002,0.10000000000000002,0.5213333333333333,0.5213333333333333,0.5213333333333333,0.5117649126859348,0.5218960277939775,0.4867301587301587,0.26825396825396824,0.16607392607392613,0.64,0.64,422.86074164000024,535.5641660000003
current,0.6466666666666667,0.6866666666666668,0.21600000000000003,0.12400000000000003,0.7066666666666666,0.7,0.7066666666666666,0.6443411245289157,0.6641360503504895,0.6262857142857142,0.31158730158730163,0.20323676323676323,0.72,0.76,163.6678316400002,149.09500000000264
